0,1,5753
0,2,34
0,3,10
0,4,4
0,5,1131
0,6,140
0,7,2
0,8,1933
0,9,20
0,10,71
0,11,103
0,12,172
0,13,15
0,14,110
0,15,272
0,16,5
0,17,19
0,18,42
0,19,1922
0,22,10
0,24,9
0,26,1
0,27,31
0,28,1
0,29,2
0,30,2537
0,32,1
0,34,55
0,37,1
0,40,13
0,41,1615
0,42,100
0,43,81
0,45,1709
0,56,1
0,57,51
0,59,15
0,60,1
0,61,22
0,64,53
0,65,3
0,66,479
0,67,82
0,68,1584
0,69,1
0,70,1
0,71,29
0,72,157
0,73,11
0,74,3
0,76,33
0,77,1973
0,78,3
0,80,612
0,82,1
0,86,1
0,90,15
0,92,1
0,94,1
1,2,4
1,3,56
1,4,25
1,5,112
1,6,25
1,7,39
1,8,1778
1,9,21
1,10,251
1,11,81
1,12,320
1,13,6
1,14,40
1,15,5
1,17,56
1,18,37
1,19,6549
1,20,8
1,26,14
1,27,3
1,28,32
1,29,42
1,30,2924
1,31,1
1,32,1
1,34,24
1,37,24
1,38,1
1,39,51
1,40,70
1,41,4030
1,42,33
1,43,120
1,45,160
1,46,1
1,47,111
1,50,1
1,57,55
1,59,46
1,61,6
1,63,1
1,64,212
1,66,236
1,67,29
1,68,52
1,69,17
1,71,33
1,72,12
1,73,2
1,74,41
1,77,490
1,78,1
1,80,93
1,81,1
1,83,39
1,84,1
1,85,24
1,87,1
1,90,3
1,93,1
1,94,84
2,3,22194
2,4,143
2,5,305
2,6,410
2,7,5793
2,9,983
2,10,201
2,11,34
2,12,3543
2,13,2172
2,14,1750
2,15,1
2,16,3
2,17,107
2,18,964
2,19,17
2,20,2305
2,22,56
2,23,9
2,24,8
2,25,2
2,26,30
2,27,8
2,28,3
2,30,1
2,31,78
2,32,1
2,34,11902
2,37,2892
2,38,27
2,39,29
2,40,48
2,41,211
2,42,250
2,43,72
2,45,13
2,46,1
2,48,2
2,50,8
2,51,35
2,55,11
2,57,84
2,58,1
2,59,2
2,60,1
2,61,24
2,62,21
2,63,3
2,64,4
2,65,3
2,66,112
2,67,854
2,68,9188
2,71,785
2,72,3
2,73,378
2,75,10318
2,76,155
2,77,196
2,78,82
2,79,1163
2,80,51
2,81,16
2,82,31
2,83,13
2,84,3799
2,85,3
2,86,25
2,88,46
2,90,10
2,92,3
2,93,44
2,94,8
2,95,52
3,4,161
3,5,520
3,6,499
3,7,1633
3,8,1
3,9,1374
3,10,1209
3,11,587
3,12,2350
3,13,1984
3,14,1098
3,15,4
3,16,1
3,17,18
3,18,367
3,19,12
3,20,1049
3,22,64
3,24,4
3,26,371
3,27,29
3,28,8
3,29,88
3,30,2
3,32,12
3,33,3808
3,34,6387
3,37,980
3,39,60
3,40,180
3,41,66
3,42,675
3,43,139
3,44,1
3,45,249
3,46,36
3,51,7
3,55,1
3,57,82
3,58,1
3,59,82
3,61,13
3,63,5
3,64,15
3,65,58
3,66,573
3,67,798
3,68,6444
3,69,2
3,70,98
3,71,704
3,72,34
3,73,107
3,74,23
3,75,569
3,76,40
3,77,879
3,78,3
3,80,79
3,81,30
3,82,117
3,83,25
3,84,3364
3,85,1196
3,90,2
3,92,8
3,95,11
4,5,3652
4,6,82
4,7,36
4,8,1
4,9,130
4,10,223
4,11,10
4,12,2270
4,13,130
4,14,108
4,15,158
4,16,354
4,17,64
4,18,12
4,20,252
4,22,2
4,24,199
4,26,72
4,27,138
4,28,2997
4,29,68
4,30,1
4,31,26
4,32,1
4,34,77
4,37,441
4,39,13
4,40,79
4,41,152
4,42,508
4,43,41
4,44,1
4,45,153
4,50,2
4,57,916
4,59,47
4,61,14
4,63,1
4,64,43
4,65,36
4,66,74
4,67,118
4,68,3
4,71,13
4,72,5
4,73,54
4,74,219
4,75,87
4,76,26
4,77,163
4,78,1
4,80,39
4,81,2
4,82,42
4,83,40
4,84,33
4,85,61
4,92,56
4,93,11
4,94,65
4,95,1
5,6,357
5,7,235
5,8,12
5,9,188
5,10,188
5,11,76
5,12,4911
5,13,362
5,14,455
5,15,80
5,16,2
5,17,48
5,18,105
5,19,14
5,20,238
5,22,29
5,24,469
5,26,62
5,27,318
5,28,3989
5,29,6
5,30,2
5,32,1
5,34,263
5,37,592
5,38,1
5,39,27
5,40,33
5,41,60
5,42,394
5,43,22
5,45,62
5,46,1
5,55,4
5,57,1384
5,58,2
5,59,45
5,61,1
5,63,1
5,64,9
5,65,7
5,66,96
5,67,190
5,68,681
5,71,196
5,72,2
5,73,34
5,74,49
5,75,1
5,76,11
5,77,1078
5,78,48
5,80,681
5,81,4
5,82,109
5,83,16
5,84,69
5,85,85
5,86,7
